,x,y,z
0,133599.2964,1415603.1612,97.13945
1,133599.0097,1415603.0758000002,97.10285
2,133598.70165,1415603.1520500001,97.11505000000001
3,133595.7767,1415603.3625,97.03575000000001
4,133596.07864999998,1415603.29235,97.07845
5,133596.3806,1415603.2161,97.08455
6,133596.6795,1415603.149,97.13640000000001
7,133596.99975,1415603.0605499998,97.04185
8,133597.30475,1415602.9843,97.05099999999999
9,133598.2167,1415602.7677499999,97.1181
10,133599.12865,1415602.5451,97.1669
11,133598.77790000002,1415602.46885,97.08455
12,133597.85069999998,1415602.6945500001,97.0693
13,133596.0024,1415603.149,97.07234999999999
14,133595.6913,1415603.22525,97.07845
15,133595.3863,1415603.29845,97.06625
16,133595.08130000002,1415603.3747,97.0693
17,133594.77325,1415603.45095,97.08455
18,133593.7576,1415603.18255,97.0693
19,133595.2948,1415602.8013,97.03880000000001
20,133595.612,1415602.72505,97.0266
21,133595.92309999999,1415602.6427,97.01135
22,133596.5331,1415602.4902,97.0144
23,133597.13395,1415602.3529500002,97.09065
24,133597.7592,1415602.19435,97.02355
25,133598.6803,1415601.9656,97.0266
26,133599.3086,1415601.81005,96.97475
27,133599.20489999998,1415601.746,97.08455
28,133598.89685,1415601.82225,97.0754
29,133598.58575,1415601.8985000001,97.0693
30,133598.28075,1415601.9717,97.04185
31,133597.04855,1415602.2736499999,97.05099999999999
32,133596.4233,1415602.42615,97.0571
33,133596.12135,1415602.49935,97.04795
34,133595.8133,1415602.5755999999,97.03269999999999
35,133595.19415,1415602.7281,97.0632
36,133594.8861,1415602.8043499999,97.06625
37,133594.58415,1415602.87755,97.05099999999999
38,133594.27,1415602.9538,97.05404999999999
39,133593.965,1415603.0239499998,97.04185
40,133593.65695,1415603.1063,97.07234999999999
41,133593.34889999998,1415603.17645,97.0632
42,133592.7328,1415603.3289499998,97.05404999999999
43,133590.58255000002,1415603.3381,97.04185
44,133591.50975,1415603.1124,97.03575000000001
45,133593.0378,1415602.73115,96.99915
46,133594.26695,1415602.4292000001,96.99305
47,133594.55975000001,1415602.3590499999,97.05099999999999
48,133595.4778,1415602.1364000002,97.05099999999999
49,133595.78585000001,1415602.06015,97.05404999999999
50,133596.10305,1415601.9778,97.0205
51,133596.7039,1415601.8375,97.09370000000001
52,133597.0211,1415601.74905,97.0205
53,133597.95135,1415601.52335,97.00525
54,133598.25024999998,1415601.4532,97.04795
55,133598.56745,1415601.3708499998,96.9961
56,133599.18050000002,1415601.21835,97.0022
57,133598.75045,1415601.2092000002,97.03269999999999
58,133598.4485,1415601.27935,96.99915
59,133595.66079999998,1415601.96255,97.04185
60,133595.04165,1415602.11505,97.04185
61,133594.7336,1415602.19435,97.0449
62,133594.4286,1415602.26755,97.02964999999999
63,133593.8186,1415602.4109,97.03269999999999
64,133593.51055,1415602.4902,97.03269999999999
65,133593.1964,1415602.5633999999,97.04185
66,133592.58335,1415602.7159,97.03880000000001
67,133592.2753,1415602.7921499999,97.0205
68,133591.9642,1415602.8684,97.0449
69,133591.65615,1415602.94465,97.02964999999999
70,133591.04615,1415603.09715,97.03880000000001
71,133590.7381,1415603.17035,97.0449
72,133590.43615,1415603.24355,97.0205
73,133587.75215,1415603.42045,97.06015000000001
74,133588.3652,1415603.26185,96.99915
75,133588.65495,1415603.20085,97.0876
76,133589.9024,1415602.8806,96.9534
77,133590.1891,1415602.8195999998,97.06625
78,133590.49409999998,1415602.74335,97.05404999999999
79,133591.4274,1415602.5085,96.99
80,133591.7385,1415602.4292000001,96.9595
